SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,NPOPCHG_2020,NPOPCHG_2021,NPOPCHG_2022,BIRTHS2020,BIRTHS2021,BIRTHS2022,DEATHS2020,DEATHS2021,DEATHS2022,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,NETMIG2020,NETMIG2021,NETMIG2022,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RBIRTH2021,RBIRTH2022,RDEATH2021,RDEATH2022,RNATURALCHG2021,RNATURALCHG2022,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RDOMESTICMIG2021,RDOMESTICMIG2022,RNETMIG2021,RNETMIG2022
40,2,4,20,Kansas,2937847,2937919,2937922,2937150,72,3,-772,8510,34281,34968,6990,32746,32960,1520,1535,2008,128,2069,5484,-2008,-4975,-7409,-1880,-2906,-1925,432,1374,-855,11.66845733,11.90385411,11.14597893,11.22028802,0.522478399,0.683566091,0.704239614,1.866870738,-1.693374617,-2.522181856,-0.989135002,-0.655311118
40,3,6,21,Kentucky,4505893,4507445,4506589,4512310,1552,-856,5721,12580,51453,52496,12816,58285,60854,-236,-6832,-8358,119,1754,4455,919,2763,10420,1038,4517,14875,750,1459,-796,11.41619834,11.64133227,12.93205684,13.49477359,-1.515858494,-1.853441313,0.389170931,0.987925466,0.61304406,2.310703335,1.002214991,3.298628802
40,3,7,22,Louisiana,4657749,4651664,4627098,4590241,-6085,-24566,-36857,13555,57123,57152,14831,56590,55995,-1276,533,1157,192,3183,8106,-5318,-28288,-46672,-5126,-25105,-38566,317,6,552,12.31263395,12.40097603,12.19774793,12.14992744,0.114886016,0.251048594,0.686082906,1.758859037,-6.097365144,-10.12700086,-5.411282238,-8.368141825
40,1,1,23,Maine,1362341,1363557,1377238,1385340,1216,13681,8102,2997,11580,12030,3713,16100,17973,-716,-4520,-5943,58,1012,2525,1738,17304,11600,1796,18316,14125,136,-115,-80,8.450102981,8.709256354,11.74841606,13.01175931,-3.298313081,-4.302502952,0.738471867,1.828002684,12.62699326,8.397952927,13.36546513,10.22595561
40,3,5,24,Maryland,6177213,6173205,6174610,6164660,-4008,1405,-9950,17156,67441,69130,16908,58911,57567,248,8530,11563,506,9038,23756,-5489,-17697,-45101,-4983,-8659,-21345,727,1534,-168,10.92355206,11.20487679,9.541931103,9.330697845,1.381620959,1.874178943,1.463902723,3.850470895,-2.866418067,-7.310156922,-1.402515344,-3.459686027
40,1,1,25,Massachusetts,7029949,6995729,6989690,6981974,-34220,-6039,-7716,17112,66541,70019,22124,61675,63716,-5012,4866,6303,907,16476,43880,-26857,-26717,-57292,-25950,-10241,-13412,-3258,-664,-607,9.515767815,10.02300084,8.819900212,9.120746104,0.695867603,0.902254735,2.356168235,6.281284749,-3.820693538,-8.201170598,-1.464525303,-1.919885849
40,2,3,26,Michigan,10077325,10069577,10037504,10034113,-7748,-32073,-3391,26586,102739,105157,31049,115020,117639,-4463,-12281,-12482,409,7044,18812,-5140,-29566,-8482,-4731,-22522,10330,1446,2730,-1239,10.21918597,10.47817921,11.44074568,11.72192554,-1.221559708,-1.243746331,0.700648692,1.874487741,-2.940854518,-0.84517356,-2.240205826,1.02931418
40,2,4,27,Minnesota,5706504,5709852,5711471,5717184,3348,1619,5713,16461,63068,64821,12756,51473,53204,3705,11595,11617,295,5523,14194,-1665,-16312,-19400,-1370,-10789,-5206,1013,813,-698,11.04390446,11.34359205,9.013491694,9.310631916,2.030412764,2.032960134,0.967138395,2.483931836,-2.856411643,-3.394975174,-1.889273248,-0.911043338
40,3,6,28,Mississippi,2961288,2958141,2949586,2940057,-3147,-8555,-9529,8503,34972,35060,9743,41379,40014,-1240,-6407,-4954,62,628,1593,-2216,-3476,-5716,-2154,-2848,-4123,247,700,-452,11.83940964,11.90564522,14.00843336,13.58792035,-2.169023721,-1.68227514,0.212602918,0.540949596,-1.176763923,-1.941034457,-0.964161005,-1.400084861
40,2,4,29,Missouri,6154920,6153998,6169823,6177957,-922,15825,8134,17238,68778,69255,16792,75425,75249,446,-6647,-5994,270,3862,10058,-1607,16816,5024,-1337,20678,15082,-31,1794,-954,11.16179795,11.21740102,12.24052183,12.1882638,-1.07872388,-0.970862779,0.626753667,1.629118757,2.729023734,0.813749516,3.355777401,2.442868273
40,4,8,30,Montana,1084197,1087075,1106227,1122867,2878,19152,16640,2812,10806,11173,2527,12115,12859,285,-1309,-1686,43,713,1801,2668,20370,16003,2711,21083,17804,-118,-622,522,9.853636207,10.02470062,11.04727028,11.53742283,-1.193634073,-1.512722209,0.650161264,1.615903143,18.57473344,14.35829983,19.2248947,15.97420297
40,2,4,31,Nebraska,1961489,1962642,1963554,1967923,1153,912,4369,6046,24260,24376,4472,19535,19271,1574,4725,5105,95,1581,4018,-844,-5994,-4270,-749,-4413,-252,328,600,-484,12.35801779,12.40042864,9.951107892,9.803440285,2.406909895,2.596988358,0.805359692,2.044015519,-3.053337123,-2.172211614,-2.247977432,-0.128196095
40,4,8,32,Nevada,3104624,3115648,3146402,3177772,11024,30754,31370,8166,33289,33784,7016,32428,33392,1150,861,392,134,3614,10163,10089,25447,20781,10223,29061,30944,-349,832,34,10.63198154,10.68408301,10.35699172,10.56011425,0.27498982,0.123968759,1.154254597,3.214016566,8.12737043,6.57192544,9.281625027,9.785942006
