Median Household Income,state,place,Median Gross Rent,Median Home Value (Owner Occupied)
48657.0,1,23320,833.0,151100.0
49250.0,1,23344,,82500.0
41429.0,1,23488,380.0,161700.0
26650.0,1,23656,898.0,70000.0
,1,23872,,
102232.0,1,23880,,288000.0
63859.0,1,24184,910.0,187600.0
,1,24256,,95100.0
,1,24280,,
60938.0,1,24472,,166300.0
35127.0,1,24568,619.0,122800.0
,1,24616,,
30331.0,1,24664,588.0,96500.0
102000.0,1,24688,618.0,156300.0
36021.0,1,24808,647.0,85800.0
62500.0,1,24880,800.0,141700.0
43914.0,1,25120,871.0,101000.0
,1,25216,,
83258.0,1,25240,1376.0,337100.0
33750.0,1,25384,597.0,181300.0
38281.0,1,25648,648.0,104700.0
,1,25816,,66700.0
34133.0,1,25840,528.0,95300.0
55284.0,1,25864,,141600.0
,1,26152,,
56458.0,1,26200,,178400.0
31522.0,1,26824,585.0,88400.0
26696.0,1,26848,629.0,90700.0
40944.0,1,26896,699.0,146700.0
53817.0,1,26992,840.0,205300.0
58706.0,1,27088,920.0,120300.0
24375.0,1,27376,648.0,56100.0
26389.0,1,27520,416.0,62100.0
44330.0,1,27616,626.0,134700.0
67574.0,1,27640,1211.0,
74369.0,1,28024,,64800.0
,1,28120,,257000.0
25804.0,1,28312,975.0,74500.0
,1,28408,,61100.0
48500.0,1,28432,713.0,81600.0
53952.0,1,28504,,104600.0
72766.0,1,28552,1028.0,157900.0
34432.0,1,28672,658.0,104400.0
35776.0,1,28696,687.0,81600.0
,1,28768,806.0,255000.0
,1,28816,,77800.0
57500.0,1,28936,,160700.0
50313.0,1,29032,725.0,100700.0
74608.0,1,29056,908.0,190400.0
45833.0,1,29296,1083.0,135400.0
48125.0,1,29392,,101700.0
38125.0,1,29464,604.0,110800.0
29750.0,1,29560,593.0,59700.0
50208.0,1,29608,588.0,156900.0
61094.0,1,29704,388.0,78200.0
41731.0,1,29944,900.0,92900.0
63060.0,1,29992,710.0,168400.0
31875.0,1,30160,546.0,46000.0
35313.0,1,30448,,
58036.0,1,30496,818.0,139300.0
32256.0,1,30640,530.0,75600.0
42449.0,1,30736,501.0,112300.0
41750.0,1,30760,930.0,42500.0
44688.0,1,30808,,50000.0
38750.0,1,30880,780.0,93900.0
39531.0,1,31000,,
71167.0,1,31024,855.0,123100.0
66923.0,1,31096,584.0,197300.0
53403.0,1,31348,1038.0,108800.0
50216.0,1,31384,916.0,97100.0
25465.0,1,31720,617.0,83100.0
39959.0,1,31912,676.0,111400.0
41071.0,1,32056,950.0,66200.0
53250.0,1,32080,655.0,136700.0
44634.0,1,32224,563.0,95200.0
,1,32248,,134900.0
53048.0,1,32272,1131.0,271500.0
53750.0,1,32416,672.0,227600.0
56250.0,1,32440,658.0,149000.0
33750.0,1,32536,,140000.0
31910.0,1,32560,548.0,82300.0
,1,32584,,
57083.0,1,32656,,141700.0
47701.0,1,32704,587.0,106800.0
42722.0,1,32848,529.0,91700.0
41042.0,1,32896,525.0,108800.0
34111.0,1,32968,752.0,118200.0
,1,33064,,
66303.0,1,33256,740.0,157800.0
42043.0,1,33424,754.0,128400.0
61557.0,1,33448,686.0,149000.0
106059.0,1,33472,1124.0,199700.0
250001.0,1,33544,,318000.0
75221.0,1,33640,975.0,171100.0
26364.0,1,33712,718.0,76800.0
55786.0,1,33808,879.0,137400.0
72391.0,1,33856,665.0,162000.0
55747.0,1,33904,329.0,65000.0
40368.0,1,33976,640.0,139800.0
96173.0,1,34024,1101.0,227800.0
49688.0,1,34096,588.0,108600.0
51957.0,1,34480,,208000.0
148405.0,1,34490,,468000.0
52035.0,1,34816,,143200.0
,1,34984,,
126842.0,1,35130,,188500.0
36250.0,1,35152,389.0,87700.0
70750.0,1,35200,550.0,63600.0
56681.0,1,35392,866.0,156500.0
47634.0,1,35512,,80900.0
51111.0,1,35536,755.0,103000.0
43594.0,1,35560,714.0,151900.0
39615.0,1,35632,744.0,74400.0
37194.0,1,35704,750.0,89800.0
61038.0,1,35752,912.0,211500.0
89433.0,1,35800,1241.0,391500.0
95970.0,1,35896,1217.0,316700.0
36875.0,1,36088,545.0,129200.0
58151.0,1,36448,1072.0,118800.0
39601.0,1,36592,761.0,98200.0
60959.0,1,37000,912.0,194500.0
37083.0,1,37096,421.0,75700.0
60625.0,1,37264,614.0,98100.0
37313.0,1,37312,,103400.0
124659.0,1,37465,,433100.0
63010.0,1,37864,1074.0,169400.0
36307.0,1,38032,,99400.0
49460.0,1,38152,578.0,124200.0
51071.0,1,38248,633.0,69400.0
41920.0,1,38272,668.0,148400.0
55721.0,1,38416,639.0,172200.0
55333.0,1,38608,799.0,115300.0
,1,39064,,128500.0
