Median Household Income,state,place,Median Gross Rent,Median Home Value (Owner Occupied)
8500.0,1,100,,90800.0
28533.0,1,124,488.0,89500.0
52167.0,1,460,813.0,104900.0
29219.0,1,484,609.0,108000.0
28804.0,1,676,506.0,56700.0
67346.0,1,820,889.0,161800.0
35843.0,1,988,605.0,99800.0
34782.0,1,1132,489.0,93300.0
41324.0,1,1180,767.0,115000.0
16528.0,1,1228,380.0,82100.0
33235.0,1,1396,584.0,63700.0
27708.0,1,1660,361.0,68600.0
28049.0,1,1708,435.0,95000.0
42750.0,1,1756,325.0,107300.0
31135.0,1,1852,564.0,92100.0
42435.0,1,2116,554.0,124800.0
32196.0,1,2260,551.0,103000.0
53917.0,1,2320,669.0,131500.0
32734.0,1,2428,388.0,68300.0
25156.0,1,2500,492.0,92300.0
35709.0,1,2836,414.0,132400.0
30759.0,1,2860,329.0,88700.0
33321.0,1,2908,500.0,61900.0
42127.0,1,2956,535.0,134200.0
36263.0,1,3004,570.0,94400.0
32426.0,1,3028,490.0,70300.0
35857.0,1,3076,677.0,205600.0
33750.0,1,3220,622.0,49300.0
47679.0,1,3364,590.0,87500.0
40089.0,1,3508,290.0,95700.0
54531.0,1,3556,1055.0,89300.0
38661.0,1,3676,663.0,107800.0
32917.0,1,3724,575.0,90700.0
45909.0,1,3820,707.0,56900.0
43750.0,1,3940,571.0,52500.0
35951.0,1,4660,638.0,94700.0
34539.0,1,4684,326.0,100200.0
25313.0,1,4852,406.0,62000.0
24526.0,1,4900,938.0,38800.0
23167.0,1,4948,235.0,72500.0
92880.0,1,5140,,
30972.0,1,5164,397.0,84400.0
35875.0,1,5188,,41000.0
57604.0,1,5212,,107700.0
60000.0,1,5692,,165600.0
20792.0,1,5932,332.0,42200.0
27590.0,1,5980,624.0,81700.0
39750.0,1,6460,400.0,67900.0
31827.0,1,7000,683.0,85800.0
44688.0,1,7120,,48000.0
25238.0,1,7456,422.0,97400.0
84135.0,1,7588,,207900.0
37500.0,1,7672,,75000.0
31172.0,1,7912,429.0,101300.0
18702.0,1,8104,275.0,60000.0
48750.0,1,8248,619.0,13300.0
24250.0,1,8680,,33500.0
31346.0,1,9016,283.0,95000.0
39559.0,1,9064,,53300.0
35044.0,1,9136,447.0,66300.0
34390.0,1,9208,556.0,112600.0
36282.0,1,9328,511.0,69000.0
25929.0,1,9400,788.0,56300.0
28750.0,1,9424,232.0,71200.0
23125.0,1,9457,826.0,22300.0
57214.0,1,9500,842.0,385500.0
41848.0,1,9736,392.0,86300.0
55357.0,1,9808,722.0,115400.0
80732.0,1,9880,,33500.0
21798.0,1,10240,379.0,70600.0
,1,10456,,
43173.0,1,11032,474.0,115700.0
54080.0,1,11416,764.0,139500.0
19375.0,1,11488,,34900.0
21563.0,1,11512,359.0,95500.0
18663.0,1,11680,463.0,65900.0
25481.0,1,12016,415.0,59800.0
30714.0,1,12040,792.0,53000.0
40500.0,1,12070,383.0,68800.0
68385.0,1,12112,,18200.0
55000.0,1,12160,605.0,88100.0
30192.0,1,12304,488.0,68500.0
17381.0,1,12496,363.0,56800.0
2499.0,1,12544,,9999.0
31131.0,1,12760,482.0,98500.0
41646.0,1,13264,700.0,108300.0
40564.0,1,13648,363.0,101200.0
31642.0,1,13672,559.0,140400.0
23250.0,1,14008,464.0,51000.0
84868.0,1,14104,867.0,215900.0
36875.0,1,14152,586.0,62500.0
33061.0,1,14392,612.0,84700.0
38310.0,1,14464,482.0,93400.0
71569.0,1,14728,449.0,194700.0
76364.0,1,14968,,
41286.0,1,15064,547.0,126900.0
35256.0,1,15136,472.0,109000.0
70273.0,1,15256,952.0,167700.0
34479.0,1,15304,562.0,86100.0
23629.0,1,15376,458.0,56400.0
46786.0,1,15472,658.0,102400.0
21806.0,1,15640,588.0,48400.0
52286.0,1,16000,478.0,149300.0
46563.0,1,16080,656.0,79600.0
36207.0,1,16240,,81500.0
25625.0,1,16264,368.0,77800.0
41250.0,1,16312,519.0,142200.0
28682.0,1,16600,436.0,71800.0
29375.0,1,16684,833.0,76300.0
23393.0,1,16744,366.0,64500.0
31108.0,1,16768,620.0,119900.0
61131.0,1,16936,638.0,138700.0
47904.0,1,17176,658.0,106700.0
23472.0,1,17368,395.0,48800.0
26570.0,1,17824,409.0,75000.0
56042.0,1,17968,510.0,152100.0
35208.0,1,18040,340.0,81000.0
36014.0,1,18088,605.0,78000.0
41786.0,1,18304,681.0,125000.0
40230.0,1,18856,508.0,96300.0
32857.0,1,18952,475.0,83400.0
35529.0,1,18976,573.0,124300.0
39342.0,1,19024,,83700.0
26058.0,1,19216,,100800.0
35319.0,1,19336,494.0,78500.0
47536.0,1,19360,618.0,94700.0
59842.0,1,19648,906.0,192400.0
56731.0,1,19744,1184.0,233500.0
55917.0,1,19816,,107900.0
65208.0,1,19912,,102100.0
59853.0,1,20008,1333.0,192000.0
43090.0,1,20104,555.0,125600.0
18125.0,1,20152,,
52975.0,1,20272,,28600.0
35583.0,1,20296,449.0,119400.0
25313.0,1,20392,179.0,62500.0
38036.0,1,20955,764.0,102800.0
26596.0,1,21136,441.0,84200.0
42124.0,1,21184,605.0,132400.0
30865.0,1,21280,413.0,84600.0
51667.0,1,21328,508.0,97400.0
15441.0,1,21448,272.0,58900.0
49196.0,1,21890,2001.0,67900.0
42917.0,1,21952,317.0,97200.0
26065.0,1,22216,549.0,59100.0
17083.0,1,22504,,84700.0
34750.0,1,22816,494.0,92100.0
29261.0,1,23032,,71500.0
54375.0,1,23176,518.0,90600.0
38393.0,1,23224,543.0,72300.0
28975.0,1,23296,488.0,79000.0
30161.0,1,23320,661.0,111600.0
47500.0,1,23344,,72900.0
52188.0,1,23488,625.0,152600.0
33295.0,1,23656,852.0,71600.0
95417.0,1,23872,,129200.0
86563.0,1,23880,954.0,227500.0
48042.0,1,24184,638.0,140000.0
18750.0,1,24256,425.0,103500.0
42778.0,1,24472,,156300.0
34025.0,1,24568,500.0,132100.0
32708.0,1,24616,523.0,22500.0
29196.0,1,24664,441.0,91400.0
46563.0,1,24688,678.0,102200.0
22985.0,1,24808,507.0,77600.0
39853.0,1,24880,690.0,84500.0
34242.0,1,25120,643.0,99400.0
21958.0,1,25216,,
56157.0,1,25240,1009.0,249000.0
35625.0,1,25384,530.0,94200.0
36848.0,1,25648,550.0,80900.0
65667.0,1,25816,,76700.0
31705.0,1,25840,407.0,93000.0
60506.0,1,25864,,94600.0
37091.0,1,26152,,208200.0
42917.0,1,26200,429.0,90500.0
31701.0,1,26824,465.0,78500.0
30833.0,1,26848,483.0,82600.0
33001.0,1,26896,537.0,104200.0
